"Username","Runs","Distance (Miles)","Duration","Calories","Max Speed (MPH)","Average Speed (MPH)","Total Output (kJ)","Average Output (Watts)","PRs","Completed Challenge"
"GingerNut1","18","70.6","10:50","6333","12.5","6.52","11173","286.0","1","True"
"Nicki_Cycology","18","57.15","10:50","6752","8.7","5.28","8908","228.0","1","True"
"irish_claire","18","0","10:50","4687","0","0.0","0","0.0","0","True"
"beingmybestself","10","28.15","5:20","3678","7.0","5.28","4343","226.0","3","False"
"BecsDX","0","0","0:00","0","0","0","0","0","0","False"
"nomes79","4","4.52","1:50","989","6.2","2.47","691","105.0","1","False"
"Lee_Lee6","1","1.59","0:20","194","5.6","4.77","247","206.0","0","False"
"lockandloaded","16","43.51","9:50","4532","9.1","4.42","6885","194.0","5","False"
"Sweaty_Petty","1","2.2","0:30","349","4.7","4.4","337","187.0","0","False"
"NatSandford","0","0","0:00","0","0","0","0","0","0","False"
"riaj44","3","5.73","1:20","676","5.5","4.3","893","186.0","1","False"
"Clarabellaton","1","3.88","0:30","332","8.0","7.76","618","343.0","0","False"
"CruellaDeSpin","18","44.32","10:50","4872","9.0","4.09","6864","176.0","6","True"
"pastheicecream","18","0","10:50","4701","0","0.0","0","0.0","0","True"
"PhilH79","16","52.93","9:20","6728","9.0","5.67","8362","249.0","0","False"
"WeMoveTogether","16","61.9","9:20","6017","11.5","6.63","9800","292.0","0","False"
"littlesid1","3","7.5","1:20","854","6.3","5.62","1140","238.0","0","False"
"CrystalMet","18","65.94","10:50","5151","11.0","6.09","10254","263.0","0","True"
"Kay_UK","19","62.11","11:50","6484","10.0","5.25","9680","227.0","3","True"
"allycatty","16","42.99","9:20","5923","11.0","4.61","6534","194.0","3","False"
"Charlie_73","11","29.02","5:50","2620","7.5","4.97","4543","216.0","4","False"
"louise12112","11","0","5:50","3264","0","0.0","0","0.0","0","False"
"Twinmum23","15","46.41","9:20","2790","10.0","4.97","7363","219.0","4","False"
"Natt82","16","44.75","9:50","5558","11.0","4.55","6751","191.0","7","False"
"Julesymc22","15","55.17","9:05","6236","11.4","6.07","8503","260.0","3","False"
"amyridesuk","0","0","0:00","0","0","0","0","0","0","False"
"Wupsadaisy","18","63.35","10:50","6851","10.0","5.85","10062","258.0","3","True"
"MissLianneJo","6","20.01","3:20","2198","7.7","6.0","3108","259.0","2","False"
"JacTay","18","0","10:50","5722","0","0.0","0","0.0","0","True"
"GinaUK","18","61.12","10:50","5204","9.0","5.64","9608","246.0","7","True"
"PassTheDutchie","3","5.92","1:20","453","6.0","4.44","906","189.0","1","False"
"Skyline_Pigeon","0","0","0:00","0","0","0","0","0","0","False"
"what_katy_did","19","61.57","11:50","7493","10.1","5.2","9619","226.0","3","True"
"julette45","10","30.65","5:50","3946","8.0","5.25","4809","229.0","4","False"
"HappySpinRunner","0","0","0:00","0","0","0","0","0","0","False"
"Ukmumof3_trying","7","16.58","3:20","1954","8.6","4.97","2192","183.0","1","False"
"s5stw","18","52.96","11:05","6227","8.3","4.78","0","0.0","0","False"
"sweatwithsteph","4","10.67","2:15","1631","6.0","4.74","1651","204.0","0","False"
"taz520","15","0","8:50","5369","0","0.0","0","0.0","0","False"
"careskell","15","40.48","8:50","5868","9.0","4.58","6294","198.0","1","False"
